,Id,Date,Text,State
410085,938805748439457793,2017-12-07,"['los', 'angeles', 'threatened', 'spread', 'forcing', 'thousands', 'evacuate']",Tarlac
410346,938804804733886465,2017-12-07,"['climatechange', 'lesson', 'seasons', 'projected', 'lengthen', 'likely', 'severe', 'increase', 'air', 'pollution', 'exacerbate', 'lung', 'diseases', 'cause', 'breathing', 'difficulties', 'healthy', 'individuals']",Aragón
410852,938802699847561216,2017-12-07,['omg'],Tennessee
411081,938801716694265856,2017-12-07,[],New York
411269,938800996364574721,2017-12-07,"['powerful', 'winds', 'threaten', 'whip', 'southern', 'police', 'ordered', 'evacuation', 'homes', 'two', 'citys', 'storied', 'roadways', 'mulholland', 'drive', 'north', 'sunset', 'boulevard', 'south']",England
411377,938800593195368448,2017-12-07,"['heart', 'breaks', 'prayforla']",Ohio
411655,938799700211154945,2017-12-07,"['please', 'add', 'prayers', 'families', 'personnel', 'fighting', 'affected']",California
411768,938799267417874433,2017-12-07,"['raging', 'tear', 'southern', 'officials', 'warn', 'increasing', 'danger']",Québec
411824,938799055194546177,2017-12-07,"['would', 'downside', 'boring', 'company', 'creating', 'aqueducts', 'fill', 'californianevada', 'salt', 'flats', 'seawater', 'would', 'restoring', 'lakes', 'reduce', 'severity', 'frequency']",England
411858,938798920880345089,2017-12-07,"['hey', 'listen', 'stop', 'romanticizing', 'pretty', 'right', 'people', 'displaced', 'insane', 'amount', 'animals']",New Jersey
411969,938798459116752897,2017-12-07,"['please', 'pray', 'several', 'friends', 'mine', 'evacuate']",Tennessee
412587,938796062969597952,2017-12-07,"['thoughts', 'affected', 'donations', 'made', 'visiting', 'encourage', 'help', 'way', 'lafires', 'peoplehelpingpeople']",Illinois
412646,938795887245119490,2017-12-07,['denair'],California
412809,938795379956551681,2017-12-07,"['bad', 'stories', 'mans', 'inhumanity', 'ban', 'beast', 'edifying', 'see', 'guid', 'folk', 'everywhere', 'well', 'done', 'man']",Alba / Scotland
413106,938794398220824576,2017-12-07,"['redflag', 'warning', 'extended', 'saturday', 'cd']",California
413123,938794335730126850,2017-12-07,"['changed', 'earths', 'circulation', 'pattern', 'looking', 'increasingly', 'scifi']",District of Columbia
413269,938793984981327872,2017-12-07,"['arent', 'thats', 'trying', 'separate', 'rest', 'country']",California
413412,938793619011588096,2017-12-07,"['editorial', 'southern', 'suggest', 'new', 'normal', 'state']",District of Columbia
413557,938793233165021184,2017-12-07,"['powerful', 'winds', 'threaten', 'whip', 'southern']",England
413689,938792901827596288,2017-12-07,"['coverage', 'heartbreaking', 'type', 'fear', 'diaster', 'uk', 'dont', 'understand']",Alba / Scotland
413983,938791862974009345,2017-12-07,"['sending', 'good', 'vibes', 'affected', 'hits', 'little', 'closer', 'home', 'days', 'creekfire']",Arkansas
414454,938790367968878592,2017-12-07,"['yeaaahhh', 'guy', 'saved', 'rabbit']",Michigan
