Id,Date,Text,State
880515059880820736,2017-06-29,RT @latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880515051681140738,2017-06-29,#LosAngelesNews with latimes: Southern California is blanketed by the smell of wildfires. Here's the latest: … https://t.co/o3zE0qTlL2,
880515011277451267,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880515005900140544,2017-06-29,Southern California is blanketed by the smell of wildfires. Here's the latest: https://t.co/boqLWdY4Hr https://t.co/bqyRAGQ9An,
880514905312505856,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880514804808658944,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880514800098230272,2017-06-29,RT @JosephSerna: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/dmMowohhDb https://t.co/Iq2pAm…,
880514766602735616,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880514504903327744,2017-06-29,RT @SenFeinstein: Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https:/…,
880514496439230465,2017-06-29,Preventing wildfires must be a priority. Rising temperatures and severe drought have increased California’s risk. https://t.co/OvpfXNTIHk,
880512975638896640,2017-06-29,RT @JosephSerna: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/dmMowohhDb https://t.co/Iq2pAm…,
880512779886768128,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880511320621105152,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880509937561948161,2017-06-29,RT @JosephSerna: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/dmMowohhDb https://t.co/Iq2pAm…,
880507421051023362,2017-06-29,"RT @wunderground: West On #Fire: Dozens of Large Fires Cause Damage, Prompt Evacuations https://t.co/r2sqFc2oYS https://t.co/MqKRFQ5bhD",
880507389648285696,2017-06-29,"RT @frkelsey: West On Fire: More Than 20 Wildfires Blazing In Utah, Arizona, Calfornia https://t.co/u42P2vRcsj",
880507387643174912,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
880506668316073985,2017-06-29,"Fire season started earlier: @CALFIRE_pio reports 2,135 fires in CA this year, more than in 2016. https://t.co/MljocFMbzm … @nbcla #prepare",
880506288437723136,2017-06-29,RT @LANow: Southern California is blanketed by the smell of wildfires; here's the latest. https://t.co/XstKQKei4x,
