fire_name,gis_acres,year,alarm_date,cont_date,lat,lon
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.30778256054886,-119.01510517240477
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.31079894424688,-119.01279504775216
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.31380260897699,-119.01039796887495
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.316412837801344,-119.01015448860205
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.320726816121756,-119.0102143244848
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.32505743479355,-119.00845352411999
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.32960027550289,-119.01074897209752
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.330834911474874,-119.01353551556612
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.33350077974132,-119.0128562454809
MARIA,10042.459,2019,2019-10-31,2019-11-05,34.33276772324256,-119.01654254602965
