OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
21534,2020,CA,CCO,SBC,KIRSCHEMANN,2010981,2020/05/28 00:00:00+00,2020/05/28 00:00:00+00,2,SBC 6010,29,28.75139046,1,1,,173394.8574,1724.029761
21535,2020,CA,CCO,SBC,VIEW,2011863,2020/06/06 00:00:00+00,2020/06/07 00:00:00+00,11,SBC 6364,77,77.05924988,1,1,,461807.9616,3887.79851
21536,2020,CA,CCO,SBC,GATO,2015948,2020/07/31 00:00:00+00,2020/07/31 00:00:00+00,14,SBC 8694,10,10.23548985,1,1,,61602.99037,1351.126874
21537,2020,CA,CCO,SBC,LITO,2019126,2020/09/07 00:00:00+00,2020/09/07 00:00:00+00,9,SBC 10424,26,25.82243919,1,1,,154580.9361,1976.451964
21538,2020,CA,CCO,SBC,DUTARD,2025052,2020/11/23 00:00:00+00,2020/11/23 00:00:00+00,14,SBC 13664,14,13.63339043,1,1,,82188.73173,1360.382138
21539,2020,CA,CCO,SBC,CLARK,2026762,2020/12/16 00:00:00+00,2020/12/16 00:00:00+00,7,SBC 14571,19,18.82917976,1,1,,113445.0468,2217.942008
21540,2020,CA,CDF,SLU,HUASNA,5881,2020/05/13 00:00:00+00,2020/05/13 00:00:00+00,5,Embrs from debris pile,47.5,47.42959976,1,1,,287161.2896,3280.433226
21541,2020,CA,CDF,SLU,SODA,7149,2020/06/10 00:00:00+00,2020/06/10 00:00:00+00,10,Dragging Chains,1680,1653.11499,6,1,,10073813.34,19675.84924
21542,2020,CA,CDF,SLU,AVILA,7409,2020/06/15 00:00:00+00,2020/06/20 00:00:00+00,14,,445,434.2909851,1,1,,2636154.882,15280.53623
21543,2020,CA,CDF,SLU,GAGE,8112,2020/06/28 00:00:00+00,2020/06/28 00:00:00+00,2,Tractor mowing,33,33.05524063,1,1,,203234.3549,3411.537511
21544,2020,CA,CDF,SLU,LAKE,8435,2020/07/04 00:00:00+00,2020/07/04 00:00:00+00,10,Vehicle Accident,583,567.0062866,1,1,,3459823.315,14090.65428
21545,2020,CA,CDF,SLU,SODA,8356,2020/07/03 00:00:00+00,2020/07/03 00:00:00+00,2,Water Pump,155,152.5865936,1,1,,928273.8171,4996.199946
21546,2020,CA,CDF,SLU,RIATA,7469,2020/06/16 00:00:00+00,2020/06/16 00:00:00+00,2,ATV,17,15.23254013,1,1,,92896.53048,1633.05767
21547,2020,CA,CDF,SLU,BERRY,9850,2020/08/01 00:00:00+00,2020/08/01 00:00:00+00,2,Equipment exhaust ,25,24.13384056,1,1,,148446.5504,2849.763563
21548,2020,CA,CDF,SLU,BRANCH,9669,2020/07/28 00:00:00+00,2020/08/03 00:00:00+00,10,,3222,2922.204102,7,1,,17791770.35,37572.32948
21549,2020,CA,CDF,SLU,II-2,10562,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,1,,68.3,64.87589264,1,1,,392548.3921,3325.652852
21550,2020,CA,CDF,SLU,CARRIZO,10369,2020/08/12 00:00:00+00,2020/08/12 00:00:00+00,10,,180,184.9172058,1,1,,1126390.383,4863.026813
21551,2020,CA,CDF,SLU,TOPAZ,7269,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,2,Mechanical,157,157.1148987,1,1,,958376.7747,5750.035587
21552,2020,CA,CDF,SLU,POND,9866,2020/08/01 00:00:00+00,2020/08/09 00:00:00+00,7,,2002,1962.328979,1,1,,11977219.34,27175.70695
21553,2020,CA,CDF,SLU,HUTTON,16175,2020/12/07 00:00:00+00,2020/12/07 00:00:00+00,14,,22,22.70940971,1,1,,137253.6427,2046.486098
21554,2020,CA,CDF,SLU,CRESTA BLANCA,7158,2020/06/10 00:00:00+00,2020/06/10 00:00:00+00,10,,21,18.42482948,1,1,,112122.358,1440.234946
21555,2020,CA,CDF,SLU,JUAN,8489,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,11,Electrical,33,33.28210068,6,1,,203983.5877,2251.941808
21556,2020,CA,CDF,SLU,PASS,10018,2020/08/04 00:00:00+00,2020/08/05 00:00:00+00,10,,322,323.1759033,1,1,,1991152.851,10759.2126
21557,2020,CA,CDF,SLU,III_2,10544,2020/08/15 00:00:00+00,2020/08/15 00:00:00+00,1,,13,20.43498993,1,1,,125110.8434,1838.694102
21558,2020,CA,CDF,SLU,WHALE,10533,2020/08/15 00:00:00+00,2020/08/18 00:00:00+00,1,,320,322.3366089,1,1,,1972454.319,6142.230578
21559,2020,CA,CDF,SLU,PLACER,110780,2020/08/25 00:00:00+00,2020/08/25 00:00:00+00,2,,53,53.15896988,1,1,,324301.1327,2960.151717
21560,2020,CA,CDF,SHU,ZOGG,9978,2020/09/27 00:00:00+00,2020/10/13 00:00:00+00,14,,56338,56338.05078,3,1,,393993433.3,190609.1699
21561,2020,CA,CDF,SHU,POINT,11061,2020/10/25 00:00:00+00,2020/10/27 00:00:00+00,9,,275,48.14772034,1,1,,1931390.71,9622.195991
21562,2020,CA,CDF,TUU,GRADE,298,2020/06/22 00:00:00+00,2020/06/25 00:00:00+00,7,,1050,1050.23999,1,1,,6599440.181,13592.22281
21563,2020,CA,CDF,TUU,FORKS,285,2020/06/18 00:00:00+00,2020/06/21 00:00:00+00,15,,130,117.2348023,1,1,,733209.3717,5251.157509
21564,2020,CA,CDF,TUU,SPRINGS,289,2020/06/19 00:00:00+00,2020/06/22 00:00:00+00,10,,217,223.8869019,1,1,,1381668.37,6273.755132
21565,2020,CA,CDF,BDU,PITZER,10332,2020/07/17 00:00:00+00,2020/07/18 00:00:00+00,9,,120,118.7805023,1,1,,707587.0671,5085.815638
21566,2020,CA,CDF,BDU,MENTONE,14847,2020/10/12 00:00:00+00,2020/10/13 00:00:00+00,10,,79,47.27254105,6,1,,279545.0983,3559.136297
21567,2020,CA,CDF,SHU,INWOOD,7560,2020/07/31 00:00:00+00,2020/07/31 00:00:00+00,11,,11,10.8198204,1,1,,75886.60554,1545.979983
21568,2020,CA,CDF,SHU,DERSCH,11068,2020/10/25 00:00:00+00,2021/01/25 00:00:00+00,7,,133,133.2994995,1,1,,933421.0888,9483.093424
21569,2020,CA,CDF,AEU,GRANT FIRE,16543,2020/06/12 00:00:00+00,2020/06/12 00:00:00+00,2,,5042,5062.198242,1,1,,33560841.77,31944.67194
21570,2020,CA,CDF,AEU,CRONAN FIRE,16219,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,2,,28,28.27120018,1,1,,188749.9945,1949.28488
21571,2020,CA,CDF,SHU,RIDGE,9476,2020/09/14 00:00:00+00,2021/01/14 00:00:00+00,10,,18.5,17.10544968,1,1,,119773.0977,2050.818243
21572,2020,CA,CDF,AEU,CLAY FIRE,22430,2020/07/29 00:00:00+00,2020/07/29 00:00:00+00,3,,741,740.1118164,1,1,,4886122.665,15488.66036
21573,2020,CA,CDF,AEU,MEISS FIRE,24350,2020/08/13 00:00:00+00,2020/08/13 00:00:00+00,9,,512,509.1471863,1,1,,3365238.547,10408.34868
21574,2020,CA,CDF,FKU,DEN,6845,2020/05/23 00:00:00+00,2020/05/23 00:00:00+00,11,,42.87516,42.87516022,1,1,,264731.4204,2238.833309
21575,2020,CA,CDF,FKU,FRONTIER,8754,2020/06/23 00:00:00+00,2020/06/23 00:00:00+00,7,,21.7087,21.70869064,1,1,,137924.5996,1565.048464
21576,2020,CA,CDF,FKU,GATOS,5504,2020/04/26 00:00:00+00,2020/04/26 00:00:00+00,2,,31.95898,31.9589901,1,1,,199029.6346,2149.264853
21577,2020,CA,CDF,FKU,HILLS,11121,2020/07/28 00:00:00+00,2020/07/28 00:00:00+00,9,,44.13896,44.13896179,1,1,,278570.2862,3468.796414
21578,2020,CA,CDF,FKU,HILLS,12279,2020/08/15 00:00:00+00,2020/09/27 00:00:00+00,1,,2120.98,2120.97998,2,1,,13134178.91,20374.51688
21579,2020,CA,CDF,FKU,KINGS,9658,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,2,,65.94609,65.9460907,1,1,,416526.9851,3621.588375
21580,2020,CA,CDF,FKU,MINERAL,10219,2020/07/13 00:00:00+00,2020/07/26 00:00:00+00,14,,29666.96,29666.96094,2,1,,184633612.4,113981.4023
21581,2020,CA,CDF,FKU,SUTTER,6911,2020/05/24 00:00:00+00,2020/05/24 00:00:00+00,11,,26.95898,26.95898056,1,1,,167316.2391,1946.584466
21582,2020,CA,CDF,FKU,SYCAMORE,8701,2020/06/23 00:00:00+00,2020/06/25 00:00:00+00,7,,26.59245,26.59246063,1,1,,168936.4056,2418.989114
21583,2020,CA,CDF,FKU,THERMAL,13123,2020/08/30 00:00:00+00,2020/08/30 00:00:00+00,11,,11.4255,11.42549992,1,1,,72166.09202,1779.664104
21584,2020,CA,CDF,FKU,TODD,10991,2020/07/26 00:00:00+00,2020/07/26 00:00:00+00,2,,13.09678,13.09677982,1,1,,82632.56773,1596.150515
