object_id,year,agency,fire_name,alarm_date,cont_date,cause,gis_acres,shape_area,shape_length,geometry,fire_season
21595,2020,CDF,CARMEL,2020-08-18,2020-09-06,10.0,6996.94189453,43813350.5993181,55600.1233182369,"POLYGON ((-121.71181457487124 36.44839594864426, -121.71049812346679 36.41735674783121, -121.6724556578588 36.409872742780486, -121.68368704412448 36.422995119366156, -121.63913307280595 36.39363660721187, -121.58679898594941 36.39393129541682, -121.62162514058213 36.42402768649585, -121.71181457487124 36.44839594864426))",True
21598,2020,CDF,COYOTE,2020-07-15,2020-07-18,14.0,1485.07495117,9360859.62698407,16996.4970122152,"POLYGON ((-120.9885109150519 36.6658490971608, -120.98496210884387 36.66569819727548, -120.98215101801182 36.667883528289195, -120.98035775792253 36.68155681163331, -121.02402230727827 36.6774433817474, -120.9885109150519 36.6658490971608))",True
21604,2020,CDF,RIVER,2020-08-16,2020-09-04,1.0,50213.8203125,314948093.903797,188233.155878181,"MULTIPOLYGON (((-121.67298703021399 36.568835106732344, -121.66638703056645 36.568815106015656, -121.66602620336795 36.55808636677461, -121.6012274709214 36.529782185148754, -121.63094153605437 36.49793973515392, -121.61768653920264 36.47390883066723, -121.62628266098852 36.44330714350745, -121.60498662394141 36.43645373421464, -121.60082980650805 36.4183811650373, -121.57347138995138 36.42906427175935, -121.56889160346145 36.401321143733306, -121.5282497341198 36.36914961056711, -121.52617804569977 36.40776254859036, -121.5123835018238 36.40535249544857, -121.50689297095947 36.422659985871874, -121.46545630100051 36.38485954872365, -121.44087753424095 36.3949833754965, -121.47224799663812 36.448835455268785, -121.50220578728407 36.46190570466428, -121.4993015860728 36.47922366247207, -121.50998706434372 36.467315104607685, -121.50428706611805 36.480915103339335, -121.52578745102772 36.490057694225236, -121.55758705031418 36.546605099760946, -121.59230904349306 36.56273300221365, -121.59038970485364 36.5777120082377, -121.60807432760902 36.5693771521765, -121.64813044058819 36.600166842347186, -121.69234501042611 36.60331755283897, -121.69125210208514 36.573256547753665, -121.67298703021399 36.568835106732344)), ((-121.52485707307449 36.369245113918296, -121.52504707304526 36.36904511458244, -121.5252470730618 36.3688951140198, -121.52521707472121 36.368865115029884, -121.52479707280003 36.369275114208335, -121.52485707307449 36.369245113918296)), ((-121.67298703021399 36.568835106732344, -121.67292988748045 36.568806535618215, -121.67288703065488 36.56881510673713, -121.67298703021399 36.568835106732344)))",True
21610,2020,CCO,HOLSER,2020-08-17,2020-08-22,14.0,2188.6340332,13059172.3181321,19186.829430932,"POLYGON ((-118.74837994586615 34.44088522198283, -118.7205683094857 34.44835063183573, -118.71595564016482 34.47365276302457, -118.74778747639357 34.46723242009654, -118.74837994586615 34.44088522198283))",True
21616,2020,CDF,SCU COMPLEX,2020-08-16,2020-09-11,1.0,396399.0,2545883718.99621,634336.338845704,"MULTIPOLYGON (((-121.49056901378853 37.605674212549744, -121.49642815575326 37.61598469292114, -121.52400252460932 37.5982739606351, -121.54430559178914 37.56649113515381, -121.53992387753117 37.53986490455519, -121.55248344270736 37.54072447781228, -121.51490444400561 37.42820134319584, -121.60307740482367 37.451100269657886, -121.59374158148674 37.46399639820609, -121.6082200936369 37.48938437175663, -121.62795439968112 37.48578607371486, -121.64390913399893 37.52944057737945, -121.68360440001669 37.547743833238926, -121.68310461242689 37.52270501891314, -121.71147877024501 37.53775914137352, -121.75967267646728 37.53354707187905, -121.75406289784223 37.515833624161864, -121.7712973828936 37.519722382709936, -121.77380160742796 37.50216116250201, -121.75625785847544 37.49022538008987, -121.82384033164693 37.483930601373245, -121.73394333311876 37.4216595760932, -121.73614797130251 37.38657428360863, -121.71557579671136 37.34800248653743, -121.68822218344648 37.350389102071496, -121.6822696220821 37.32914904091761, -121.63040463636526 37.309143990739564, -121.60471463383631 37.315134721969216, -121.52848389257501 37.25812991214588, -121.50885809852555 37.23431150687478, -121.51760987409564 37.215649125439235, -121.4807593605803 37.18913638084688, -121.47725754793974 37.14555967742211, -121.42582368079572 37.10856574120418, -121.38653919189954 37.12145642346582, -121.33635359762316 37.10159417632741, -121.27103841204166 37.15119416308767, -121.23090848000403 37.13342752062006, -121.18941885974897 37.14963684988145, -121.2048654961623 37.159236959210425, -121.16744425779412 37.15858539435131, -121.13329243161428 37.13098082241559, -121.13339935718423 37.16649404672321, -121.21630323982178 37.208057766702176, -121.14620363152866 37.23091397076006, -121.19390878776103 37.28451336894316, -121.18005063507808 37.313521004131026, -121.18740198832421 37.35275719765287, -121.22299272963797 37.3624159991846, -121.26326526293875 37.339561058012954, -121.29430411404539 37.36909931793377, -121.27830734216556 37.386951520482725, -121.29668991457419 37.40258688414972, -121.273602165235 37.4180761338399, -121.28505276019297 37.42251332895408, -121.2870452908668 37.43485642328532, -121.24722127650587 37.41447915988656, -121.23574309428554 37.42840176243513, -121.19855039900375 37.4261911559648, -121.20956279756275 37.443735791531076, -121.18579139885132 37.423401998594514, -121.20524884142999 37.47565509011357, -121.23829889649028 37.4742830893108, -121.25560543361397 37.44759194260923, -121.29951151839005 37.43994458038886, -121.28751619762019 37.445139714670816, -121.29927339387282 37.46517763374151, -121.39726976649598 37.48684365367597, -121.41507255184723 37.546139253839804, -121.38167827494648 37.56787751703696, -121.41444472019347 37.575581950820265, -121.43402153629701 37.554102084745665, -121.49056901378853 37.605674212549744), (-121.5519977919052 37.4202411997693, -121.47382495588172 37.381403695235896, -121.47403756105832 37.35605380602983, -121.44797362760585 37.34259887000473, -121.47235511175258 37.3294539523592, -121.45923380936796 37.3100861505001, -121.47487229089168 37.31883598995096, -121.47807098500593 37.34546497886122, -121.54258891128117 37.37806593455753, -121.53600525648024 37.40887674474612, -121.5519977919052 37.4202411997693)), ((-121.86487204826233 37.51712333985087, -121.86126397121187 37.49400553360068, -121.83115507315534 37.48118679575802, -121.83791238577543 37.51240844172017, -121.86487204826233 37.51712333985087)), ((-121.84443151458952 37.568002764973464, -121.85787394402693 37.55892468193553, -121.85820190725909 37.55182119556866, -121.83065158001502 37.552583459872, -121.84443151458952 37.568002764973464)), ((-121.92507250599208 37.632983980441516, -121.92908231502751 37.63152870539115, -121.92921728240736 37.629033566586834, -121.92502536599925 37.63137863030917, -121.92507250599208 37.632983980441516), (-121.92498886655093 37.63251583829961, -121.92497283431808 37.63247962372405, -121.92498933816647 37.63246442149376, -121.92498886655093 37.63251583829961)), ((-121.77083966879843 37.63486530521216, -121.77276441439757 37.63620701157972, -121.77934657260525 37.6306443543443, -121.78016132121174 37.625723327794844, -121.77083966879843 37.63486530521216)), ((-121.79207048456269 37.85704299358921, -121.80205248494808 37.85105233537767, -121.78792009727015 37.823568424339975, -121.74861174103513 37.80645477097737, -121.79207048456269 37.85704299358921)), ((-121.7925904995177 37.8599784274759, -121.78432036467035 37.864169988867104, -121.78430874675877 37.866428249653985, -121.79927293396561 37.86133829767651, -121.7925904995177 37.8599784274759)), ((-121.78847563071318 37.868477002654025, -121.78757546849283 37.87107570217467, -121.79103816848593 37.87102405305352, -121.79099637077408 37.86927580804705, -121.78847563071318 37.868477002654025)), ((-121.7782401769586 37.8796978534936, -121.77256189999653 37.86375711713838, -121.75751868529919 37.868281785514334, -121.7666034124462 37.87452403853072, -121.7782401769586 37.8796978534936)), ((-121.7811694537427 37.883912623962225, -121.78163478105988 37.88283264271952, -121.77878073189262 37.88186795237867, -121.77942054617394 37.88329473107379, -121.7811694537427 37.883912623962225)), ((-121.78447565463686 37.89605368334597, -121.78523972029507 37.896002014169, -121.77662731474803 37.89211951563136, -121.7823793074623 37.8958631626462, -121.78447565463686 37.89605368334597)))",True
21618,2020,CDF,CREWS,2020-07-05,2020-07-15,8.0,5513.0,35060829.4026663,45170.9785570482,"POLYGON ((-121.44406881545746 36.998233004305476, -121.40883084345413 37.01708690181891, -121.42137131404064 37.03333624436776, -121.48064838720168 37.02593924007148, -121.49529000016975 37.02679800001129, -121.50152199957127 37.03287000049815, -121.50957599976128 37.03490899986874, -121.51061600002693 37.03449599965651, -121.46646767555134 36.99599381617635, -121.44406881545746 36.998233004305476))",True
21624,2020,CDF,AIRPORT,2020-12-01,2020-12-13,14.0,1085.69995117,6394320.5915473,21111.0757464788,"MULTIPOLYGON (((-117.6078451886979 33.90162782424975, -117.60864092985132 33.900905244545676, -117.61257840025182 33.89991635657834, -117.63610093598517 33.91271444582024, -117.64943659885445 33.909371992054425, -117.64653936138326 33.89534342318731, -117.6143164283242 33.89311257116529, -117.6078451886979 33.90162782424975)), ((-117.60785610143199 33.901686980758775, -117.6078737290728 33.90160249850224, -117.6078451886979 33.90162782424975, -117.60785610143199 33.901686980758775)))",False
21625,2020,CDF,APPLE,2020-07-31,2020-08-09,14.0,33209.30859375,196145745.088602,150101.100013714,"POLYGON ((-116.77118451197094 34.024770851861774, -116.83800894268823 34.028030932344286, -116.80556023515051 34.05138372899711, -116.78489560415366 34.048143521512465, -116.77847789513515 34.065877490531186, -116.79854277491573 34.069051556715905, -116.76901368278122 34.08505624612524, -116.84008611981467 34.08738216012887, -116.84442703438908 34.071719565066005, -116.91205674816472 34.06582321824934, -116.91818426900711 34.044294479024344, -116.90470395671584 34.033447928845845, -116.9626816599375 34.00177499137972, -116.94979966425299 33.97922146743193, -116.92902491507365 33.974805763476375, -116.90840194075318 33.99458414045814, -116.877348616889 33.974934580760305, -116.85363361081784 33.98541992827039, -116.86178132595322 34.00072358846325, -116.82337585293558 34.0042084474154, -116.84142405263252 33.99022955483375, -116.80302727620514 33.97385671603623, -116.77118451197094 34.024770851861774))",True
21628,2020,CDF,SANDERSON,2020-12-13,2020-12-14,4.0,1954.65100098,11511422.7613439,19690.7828535296,"POLYGON ((-117.08455241233966 33.8997573491419, -117.08051093499552 33.88119512147717, -117.03120516597981 33.911657783307234, -117.0401519424419 33.91774920263416, -117.08455241233966 33.8997573491419))",False
21635,2020,CCO,SOLEDAD,2020-07-05,2020-07-07,9.0,1525.53527832,9101965.33712365,23117.5582573881,"POLYGON ((-118.3632258152241 34.44470096801755, -118.34406468104355 34.440664782598084, -118.3112522231894 34.46268299630189, -118.33820532887303 34.465691513508965, -118.3632258152241 34.44470096801755))",True
